gene_id	chromosome	start	end	strand	gene_name
DDX11L1	chr1	11874	14409	+	DDX11L1
WASH7P	chr1	14362	29370	-	WASH7P
MIR1302-2HG	chr1	29774	35418	+	MIR1302-2HG
FAM138A	chr1	34611	36081	-	FAM138A
OR4G4P	chr1	52453	53396	+	OR4G4P
OR4G11P	chr1	63016	63885	+	OR4G11P
OR4F5	chr1	65419	71585	+	OR4F5
LOC124903816	chr1	95222	107727	+	LOC124903816
LOC124900384	chr1	120849	175246	-	LOC124900384
SEPTIN14P18	chr1	126642	129225	-	SEPTIN14P18
CICP27	chr1	131068	134836	+	CICP27
LOC729737	chr1	134773	140566	-	LOC729737
RNU6-1100P	chr1	157784	157887	-	RNU6-1100P
GTF2IP10	chr1	164689	164792	+	GTF2IP10
LOC124903814	chr1	177308	180105	-	LOC124903814
DDX11L17	chr1	182388	184878	+	DDX11L17
WASH9P	chr1	184916	199875	-	WASH9P
RPL23AP21	chr1	258511	259036	-	RPL23AP21
LOC127239154	chr1	262719	297504	-	LOC127239154
LOC124903815	chr1	273223	284291	+	LOC124903815
RPL23AP24	chr1	347969	348441	-	RPL23AP24
LOC124900618	chr1	350706	358545	-	LOC124900618
LOC112268260	chr1	365134	382235	-	LOC112268260
WBP1LP7	chr1	439764	440270	+	WBP1LP7
OR4F29	chr1	450740	451678	-	OR4F29
SEPTIN14P13	chr1	484833	485210	-	SEPTIN14P13
CICP7	chr1	487055	490819	+	CICP7
LOC100132287	chr1	490756	495445	-	LOC100132287
LOC124904706	chr1	516376	516479	-	LOC124904706
LOC105378947	chr1	586287	611297	-	LOC105378947
LOC101928626	chr1	627380	629009	-	LOC101928626
MTND1P23	chr1	629062	629440	+	MTND1P23
MTND2P28	chr1	629640	630686	+	MTND2P28
MTCO1P12	chr1	631074	632616	+	MTCO1P12
MTCO2P12	chr1	632757	633438	+	MTCO2P12
MTATP8P1	chr1	633535	633741	+	MTATP8P1
MTATP6P1	chr1	633696	634376	+	MTATP6P1
MTCO3P12	chr1	634376	634922	+	MTCO3P12
WBP1LP6	chr1	674743	675246	+	WBP1LP6
OR4F16	chr1	676076	720101	-	OR4F16
SEPTIN14P14	chr1	717621	720202	-	SEPTIN14P14
CICP3	chr1	722046	725822	+	CICP3
LOC100288069	chr1	725759	778634	-	LOC100288069
RNU6-1199P	chr1	758233	758336	-	RNU6-1199P
LINC01409	chr1	778798	810065	+	LINC01409
LOC124903817	chr1	791598	799081	+	LOC124903817
FAM87B	chr1	817371	819834	+	FAM87B
LINC00115	chr1	826206	827522	-	LINC00115
LINC01128	chr1	827591	859446	+	LINC01128
LOC107984850	chr1	860182	868202	+	LOC107984850
FAM41C	chr1	868071	876802	-	FAM41C
TUBB8P11	chr1	873291	874514	+	TUBB8P11
LOC284600	chr1	904811	921019	+	LOC284600
LINC02593	chr1	916818	919692	-	LINC02593
LOC107985728	chr1	920243	925604	-	LOC107985728
SAMD11	chr1	923923	944574	+	SAMD11
NOC2L	chr1	944203	959256	-	NOC2L
KLHL17	chr1	960584	965719	+	KLHL17
PLEKHN1	chr1	966482	975865	+	PLEKHN1
PERM1	chr1	975198	982093	-	PERM1
HES4	chr1	998964	1000097	-	HES4
RPL39P12	chr1	1008060	1008290	-	RPL39P12
ISG15	chr1	1013497	1014540	+	ISG15
AGRN	chr1	1020120	1056116	+	AGRN
LOC100288175	chr1	1059734	1066453	+	LOC100288175
LOC105378948	chr1	1065635	1069337	-	LOC105378948
RNF223	chr1	1070967	1074306	-	RNF223
C1orf159	chr1	1081823	1116089	-	C1orf159
LOC124903819	chr1	1122903	1128984	-	LOC124903819
LOC124903820	chr1	1128684	1161940	+	LOC124903820
LINC01342	chr1	1137017	1144056	+	LINC01342
LOC124903818	chr1	1162877	1170338	+	LOC124903818
TTLL10-AS1	chr1	1173056	1179555	-	TTLL10-AS1
TTLL10	chr1	1173880	1197936	+	TTLL10
TNFRSF18	chr1	1203508	1206592	-	TNFRSF18
TNFRSF4	chr1	1211340	1214153	-	TNFRSF4
SDF4	chr1	1216931	1232001	-	SDF4
B3GALT6	chr1	1232237	1235041	+	B3GALT6
C1QTNF12	chr1	1242453	1247280	-	C1QTNF12
UBE2J2	chr1	1253912	1273854	-	UBE2J2
LINC01786	chr1	1274002	1280607	+	LINC01786
SCNN1D	chr1	1280436	1292025	+	SCNN1D
ACAP3	chr1	1292391	1307930	-	ACAP3
SNORD167	chr1	1304729	1304812	-	SNORD167
PUSL1	chr1	1308597	1311677	+	PUSL1
INTS11	chr1	1311600	1324660	-	INTS11
CPTP	chr1	1324802	1328896	+	CPTP
TAS1R3	chr1	1331280	1335314	+	TAS1R3
DVL1	chr1	1335278	1349418	-	DVL1
MXRA8	chr1	1352689	1363541	-	MXRA8
AURKAIP1	chr1	1373736	1375207	-	AURKAIP1
NDUFB4P8	chr1	1378640	1379084	+	NDUFB4P8
CCNL2	chr1	1385711	1399335	-	CCNL2
MRPL20-AS1	chr1	1399530	1402046	+	MRPL20-AS1
MRPL20	chr1	1401909	1407293	-	MRPL20
