gene_id	chromosome	start	end	strand	gene_name
ENSG00000223972	chr1	11869	14409	+	DDX11L1
ENSG00000227232	chr1	14404	29570	-	WASH7P
ENSG00000243485	chr1	29554	31109	+	MIR1302-2HG
ENSG00000237613	chr1	34554	36081	-	FAM138A
ENSG00000268020	chr1	52473	54936	+	OR4G4P
ENSG00000240361	chr1	62948	63887	+	OR4G11P
ENSG00000186092	chr1	69091	70008	+	OR4F5
ENSG00000238009	chr1	89295	133723	-	RP11-34P13.7
ENSG00000269981	chr1	89551	91105	-	RP11-34P13.8
ENSG00000187634	chr1	367659	368597	+	SAMD11
ENSG00000268179	chr1	407199	408692	-	OR4F29
ENSG00000187961	chr1	497648	499147	+	PDPN
ENSG00000187583	chr1	597847	599142	-	PLEKHN1
ENSG00000187642	chr1	726136	728640	+	LINC00115
ENSG00000188976	chr1	901876	910484	+	NOC2L
ENSG00000187608	chr1	911021	918111	-	ISG15
ENSG00000187634	chr1	925928	939291	+	SAMD11
ENSG00000268903	chr1	939293	939655	-	AL645608.1
ENSG00000188290	chr1	940341	949681	-	HES4
ENSG00000187642	chr1	949941	959309	-	AGRN
ENSG00000188157	chr8	62278276	62282882	+	NKX3-1
ENSG00000214093	chr8	62286313	62296461	+	JRK
ENSG00000188648	chr8	62296421	62344273	+	PSCA
ENSG00000181230	chr8	62346554	62354726	+	LY6K
